basis,molecule,full_group,abelian_group,group_order,abelian_order,n_mo,n_occ,filter,n_singles,n_doubles,n_amplitudes,e_hf,e_corr,delta_e_corr,delta_e_corr_mha,resid_t1,resid_t2,rep_error,oracle_agrees,wallclock_s
6-31g,CH4,Td,D2,24,4,17,5,abelian,15,480,495,-40.18038475214855,-0.11898500746584792,5.551115123125783e-17,5.551115123125783e-14,,,0.0,True,0.145
6-31g,CH4,Td,D2,24,4,17,5,full,9,135,144,-40.18038475214855,-0.11898500746584816,-1.8041124150158794e-16,-1.8041124150158794e-13,,,0.0,True,0.217
6-31g,HF,C2v,Coov,4,4,11,5,none,30,465,495,-99.98340893328222,-0.13124774661389743,0.0,0.0,1.474514954580286e-17,9.71445146547012e-17,0.0,True,0.154
6-31g,HF,C2v,Coov,4,4,11,5,abelian,14,164,178,-99.98340893328222,-0.13124774661389788,-4.440892098500626e-16,-4.440892098500626e-13,,,0.0,True,0.148
6-31g,HF,C2v,Coov,4,4,11,5,full,14,164,178,-99.98340893328222,-0.13124774661389788,-4.440892098500626e-16,-4.440892098500626e-13,,,0.0,True,0.143
6-31g,LiH,C2v,Coov,4,4,11,2,none,18,171,189,-7.979268948423173,-0.018995785297481662,0.0,0.0,2.42861286636753e-17,2.220446049250313e-16,0.0,True,0.121
6-31g,LiH,C2v,Coov,4,4,11,2,abelian,10,75,85,-7.979268948423173,-0.018995785297336594,1.4506798540203647e-13,1.4506798540203647e-10,,,0.0,True,0.146
6-31g,LiH,C2v,Coov,4,4,11,2,full,10,75,85,-7.979268948423173,-0.018995785297336594,1.4506798540203647e-13,1.4506798540203647e-10,,,0.0,True,0.132
6-31g,BeH2,D2h,Dooh,8,8,13,3,none,30,465,495,-15.759328877923501,-0.0404265106296854,0.0,0.0,9.592176389785283e-16,1.0755285551056204e-16,0.0,True,0.135
6-31g,BeH2,D2h,Dooh,8,8,13,3,abelian,9,116,125,-15.759328877923501,-0.04042651062948891,1.9648865867694099e-13,1.9648865867694099e-10,,,0.0,True,0.148
6-31g,BeH2,D2h,Dooh,8,8,13,3,full,9,116,125,-15.759328877923501,-0.04042651062948891,1.9648865867694099e-13,1.9648865867694099e-10,,,0.0,True,0.155
